xi,S_hor,S_rad,S_tot,eta_GSL,P_norm
1.073366834170854212e+01,1.623876047083488317e+00,2.834989970425917605e+00,4.458866017509405921e+00,5.564988754566588813e-01,2.582651737487885728e+07
1.079396984924623126e+01,1.218866062608493950e+00,2.853906840241661858e+00,4.072772902850156029e+00,5.449040715290524028e-01,2.582651737487899140e+07
1.085427135678391863e+01,1.531780887206214858e+00,2.823594377032679681e+00,4.355375264238894317e+00,5.517402375948162740e-01,2.582651737487913668e+07
1.091457286432160778e+01,1.552576200808407192e+00,2.826780391917139923e+00,4.379356592725547337e+00,5.523109057266056832e-01,2.582651737487931177e+07
1.097487437185929515e+01,1.453987631593054441e+00,2.808182226136887394e+00,4.262169857729942279e+00,5.488962310864003991e-01,2.582651737487953156e+07
1.103517587939698430e+01,1.439330314922960596e+00,2.814683739642558358e+00,4.254014054565518954e+00,5.486601520567310208e-01,2.582651737487972528e+07
1.109547738693467345e+01,1.462496406963313955e+00,2.811580917874815899e+00,4.274077324838129854e+00,5.491371830215084904e-01,2.582651737487990782e+07
1.115577889447236082e+01,1.530939776635499516e+00,2.832512898179554206e+00,4.363452674815054166e+00,5.512500073002436496e-01,2.582651737488007545e+07
1.121608040201004997e+01,1.546518050857495608e+00,2.804459451824952154e+00,4.350977502682447984e+00,5.508896673812114786e-01,2.582651737488025427e+07
1.127638190954773734e+01,1.344462507906533988e+00,2.780529361994699578e+00,4.124991869901233343e+00,5.444427769156885422e-01,2.582651737488044053e+07
1.133668341708542648e+01,1.409632043204115615e+00,2.752123109681894775e+00,4.161755152886010833e+00,5.453084143715579701e-01,2.582651737488061935e+07
1.139698492462311563e+01,1.455106063023890339e+00,2.812686132519340632e+00,4.267792195543231415e+00,5.477868611593802450e-01,2.582651737488080561e+07
1.145728643216080300e+01,1.459849224069794227e+00,2.783707252619313177e+00,4.243556476689107626e+00,5.471052575698185372e-01,2.582651737488097697e+07
1.151758793969849215e+01,1.486967556393210765e+00,2.817520246110140736e+00,4.304487802503351723e+00,5.485176187975545625e-01,2.582651737488116324e+07
